Summary,Issue key,Issue Type,Status,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (DateTimePicker_TP1),Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (LargeText_TP1),Custom field (LookupList(Single)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (MultiLookupList(Multiple)_TP1),Custom field (Number_TP1),Custom field (Rank),Custom field (Story Points),Custom field (String(Text)_TP1),Custom field ([CHART] Date of First Response),Comment,Labels,Labels,Labels
Bug 5217,TP1-5217,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,177,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l217,RidersandIncentives,ROCC-MVP-02
Bug 5218,TP1-5218,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,178,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l218,BWReports,ROCC-MVP-04
Bug 5219,TP1-5219,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,179,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l219,LargePrintBills,P1
Bug 5220,TP1-5220,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,180,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l220,CARP-TOUandEnergySelect(medium),toberevisited
Bug 5221,TP1-5221,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,181,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l221,FinalBillandWriteoff,Dawnelle
Bug 5222,TP1-5222,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,182,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l222,BMS,Mohan
Bug 5223,TP1-5223,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,183,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l223,METERTOU,Mohan_Bovanhalli
Bug 5224,TP1-5224,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,184,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l224,PaymentsandClarificationsReporting,Prasad_Damoder
Bug 5225,TP1-5225,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,185,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l225,Deposits,EVolution
Bug 5226,TP1-5226,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,186,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l226,MobilePush-Bill/FNDelivery,Office365
Bug 5227,TP1-5227,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,187,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l227,BillExtender,ISOLINK
Bug 5228,TP1-5228,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,188,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l228,PullBill/PullCheck),ISO-5
Bug 5229,TP1-5229,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,189,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l229,PastDuePaymentReminders,nMarket
Bug 5230,TP1-5230,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,190,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l230,AutoPay,MISO
Bug 5231,TP1-5231,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,191,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l231,BrailleBill,ISOLINK-ENHANCEMENT
Bug 5232,TP1-5232,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,192,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l232,"Demand,DemandTOURtes",Patch-C
Bug 5233,TP1-5233,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,193,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l233,RidersandIncentatives,Escheatment
Bug 5234,TP1-5234,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,194,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l234,"RP-Orders,BackOfficeandReporting",Contractor_Mgmt
Bug 5235,TP1-5235,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,195,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l235,MeterProfilesandNewRatesandValidations,CTI
Bug 5236,TP1-5236,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,196,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l236,FullNDR,BPC-Actuals
Bug 5237,TP1-5237,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,197,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l237,FinalNotices,NEET
Bug 5238,TP1-5238,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,198,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l238,CloseInstallments,ResolvePearlDefects
Bug 5239,TP1-5239,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,199,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l239,MeterDemand/DemandReset,LegacyApplicationSupport
Bug 5240,TP1-5240,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,200,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l240,SpecialAgreements-Simple,SnP_Delete
Bug 5241,TP1-5241,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,201,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l241,Disco/recoandFieldVisits,Snrg
Bug 5242,TP1-5242,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,202,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l242,FinancialClose/TransferToService,offsh
Bug 5243,TP1-5243,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,203,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l243,Synergi_v4.0\SNRG6-601\Ora_EOD_ADMIN\01_SNRG6_601_CREATE_VIEW_SYNE_TRANSFERSCHEME.sql,Synergi_v6.x/Ora_SYNUOW/SNRG6700
Bug 5244,TP1-5244,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,204,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l244,Synergi_v4.0\SNRG6-601\Ora_SYNUOW\02_SNRG6_601_ALTER_VIEW_SYNE_RECLOSER.sql,Data-Integrity
Bug 5245,TP1-5245,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,205,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l245,CAMS,FixIT!
Bug 5246,TP1-5246,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,206,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l246,NextGrid,"PMRQ,"
Bug 5247,TP1-5247,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,207,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l247,prod,Alok
Bug 5248,TP1-5248,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,208,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l248,Automation_Testing,Risk_Register
Bug 5249,TP1-5249,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,209,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l249,QAReady,RCS
Bug 5250,TP1-5250,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,210,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l250,Wiredown,OneAccess
Bug 5251,TP1-5251,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,211,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l251,rayza,WMSCustom
Bug 5252,TP1-5252,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,212,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l252,mercedes,1.WMSB-255
Bug 5253,TP1-5253,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,213,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l253,Annis,Non-RoadMap
Bug 5254,TP1-5254,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,214,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l254,Jarvis,RoadMap
Bug 5255,TP1-5255,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,215,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l255,Mirtha,Q3_2018
Bug 5256,TP1-5256,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,216,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l256,Lakeisha,TopTen
Bug 5257,TP1-5257,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,217,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l257,readyfortransporttoproduction,TranSet
Bug 5258,TP1-5258,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,218,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l258,IPP,SysOper
Bug 5259,TP1-5259,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,219,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l259,DeliverBillingPrograms,iFactor
Bug 5260,TP1-5260,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,220,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l260,;,C4C
Bug 5261,TP1-5261,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,221,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l261,Phase3,loto
Bug 5262,TP1-5262,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,222,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l262,OnHold,dmw
Bug 5263,TP1-5263,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,223,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l263,SmartOutage,BillingPrograms
Bug 5264,TP1-5264,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,224,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l264,NEEVATechDebt,Analysis
Bug 5265,TP1-5265,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,225,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l265,OOS,RSAM
Bug 5266,TP1-5266,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,226,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l266,AutomaticallyAssignWork,Retention
Bug 5267,TP1-5267,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,227,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l267,Delete?,Exclusion
Bug 5268,TP1-5268,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,228,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l268,RSV,go
Bug 5269,TP1-5269,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,229,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l269,410,LEAF-2762
Bug 5270,TP1-5270,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,230,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l270,Retesting,Defects_to_Review
Bug 5271,TP1-5271,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,231,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l271,Ops-Interfaces,PendingVendorUpdate
Bug 5272,TP1-5272,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,232,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l272,Layers,abapruntimeerror
Bug 5273,TP1-5273,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,233,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l273,Ops,Data-Catalog
Bug 5274,TP1-5274,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,234,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l274,Dashboards,CALLSPACT3.0
Bug 5275,TP1-5275,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,235,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l275,Graphics,No_Testing_Needed
Bug 5276,TP1-5276,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,236,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l276,FailedToPrint,mobility_board
Bug 5277,TP1-5277,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,237,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l277,BILLING,Christy
Bug 5278,TP1-5278,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,238,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l278,GI,Feature1
Bug 5279,TP1-5279,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,239,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l279,IncompleteAddress,ratecode
Bug 5280,TP1-5280,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,240,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l280,Dev,Device
Bug 5281,TP1-5281,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,241,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l281,suddeer_offshore,print
Bug 5282,TP1-5282,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,242,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l282,Budget_Billing,Bill
Bug 5283,TP1-5283,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,243,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l283,Metro,EPDSOS
Bug 5284,TP1-5284,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,244,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l284,Danielle_Park,Accountables
Bug 5285,TP1-5285,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,245,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l285,WebQA,Phoenix_Support
Bug 5286,TP1-5286,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,246,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l286,GIS-MAXIMO,Accountsettings
Bug 5287,TP1-5287,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,247,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l287,ssup_fix,leagcy
Bug 5288,TP1-5288,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,248,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l288,Ready,AMPAFS
Bug 5289,TP1-5289,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,249,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l289,ReadyforRelease,NeedAccruentReview
Bug 5290,TP1-5290,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,250,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l290,ADKAR,AC256
Bug 5291,TP1-5291,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,251,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l291,QA,BDEX&Reporting
Bug 5292,TP1-5292,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,252,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l292,IDD-004,GCC
Bug 5293,TP1-5293,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,253,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l293,ReadytoRelease,GulfOutage
Bug 5294,TP1-5294,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,254,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l294,BA_SPIKE,MeterDemand/DemandResetandValidations
Bug 5295,TP1-5295,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,255,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l295,backlog,Mirko
Bug 5296,TP1-5296,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,256,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l296,ssup_fix_april,LowPriority
Bug 5297,TP1-5297,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,257,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l297,feedback,GRCSecurity
Bug 5298,TP1-5298,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,258,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l298,5,Tasked-SSUP
Bug 5299,TP1-5299,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,259,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l299,1,QA-SSUP
Bug 5300,TP1-5300,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,260,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l300,3,SSUP-DEMO
Bug 5301,TP1-5301,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,261,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l301,9,SSUP_E2ETesting
Bug 5302,TP1-5302,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,262,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l302,James,Mock11.x
Bug 5303,TP1-5303,Bug,In Progress,software,admin,,,High,,,admin,admin,5/21/2018 13:02,6/11/2018 10:55,6/11/2018 10:55,,,,,,,,comp1,comp2,comp3,,263,desc,,,,,,,,,,,,{},,,,,,,,,,,,,0|i0008n:,,,,,l303,Release2_March26,fim-app
